date,province,amphoe,dustboy_lat,dustboy_lon,pm25
2026-04-30,น่าน,ทุ่งช้าง,19.5206378,100.9249478,63
2026-04-30,น่าน,ท่าวังผา,19.13539,100.78569,40
2026-04-30,น่าน,นาน้อย,18.3400774,100.7131756,91
2026-04-30,น่าน,นาหมื่น,18.1925731938654,100.5816336043955,64
2026-04-30,น่าน,บ้านหลวง,18.851955,100.436006,41
2026-04-30,น่าน,เฉลิมพระเกียรติ,19.59637250571473,101.0840821795708,28
2026-04-30,พะเยา,จุน,19.521310741423473,100.10119565397656,65
2026-04-30,พะเยา,ดอกคำใต้,19.188882142971078,100.00871407427996,58
2026-04-30,พะเยา,ปง,19.199536825970533,100.32502424106148,57
2026-04-30,พะเยา,ภูซาง,19.627917995580933,100.37496994062866,54
2026-04-30,พะเยา,เชียงคำ,19.491600966511793,100.33708013838243,50
2026-04-30,พะเยา,เชียงม่วน,18.87195070869528,100.23149387698828,55
2026-04-30,พะเยา,เมือง,19.192388401159832,99.87167092290606,76
2026-04-30,พะเยา,เมืองพะเยา,19.177165,99.834642,93
2026-04-30,พะเยา,แม่ใจ,19.3420596,99.8152521,63
2026-04-30,ลำปาง,วังเหนือ,19.063790929085734,99.57479368195058,67
2026-04-30,ลำปาง,สบปราบ,17.879619758624656,99.34006093260246,51
2026-04-30,ลำปาง,ห้างฉัตร,18.31464,99.365573,22
2026-04-30,ลำปาง,เกาะคา,18.21688215,99.34114796,93
2026-04-30,ลำปาง,เมือง,18.239587793958812,99.4708140886155,53
2026-04-30,ลำปาง,เมืองลำปาง,18.418525,99.543508,89
2026-04-30,ลำปาง,แม่เมาะ,18.37634352537003,99.79439233899221,67
2026-04-30,ลำพูน,บ้านโฮ่ง,18.33706,98.70776,67
2026-04-30,ลำพูน,ลี้,17.788888874464103,98.9457424823258,72
2026-04-30,ลำพูน,เมือง,18.518738990880017,99.02511545293177,62
2026-04-30,ลำพูน,เมือง บ้านฝั่งหมิ่น,18.436577,98.955827,40
2026-04-30,ลำพูน,เมืองลำพูน,18.548979000000003,99.0441495,46
2026-04-30,ลำพูน,แม่ทา,18.4161025,99.0033274,33
2026-04-30,ลำพูน (ก,รมน. ลำพูน),18.331694,98.818839,68
2026-04-30,อุตรดิตถ์,ตรอน,17.445823,100.14284,79
2026-04-30,อุตรดิตถ์,ฟากท่า,18.003028470578386,100.88328877419808,38
2026-04-30,เชียงราย,ขุนตาล,19.911817925597,100.29802263,32
2026-04-30,เชียงราย,ดอยหลวง.,20.11713,100.10946,84
2026-04-30,เชียงราย,ป่าแดด,19.508281732459174,99.99097574602813,45
2026-04-30,เชียงราย,พญาเม็งราย,19.850303790282243,100.14595757300928,39
2026-04-30,เชียงราย,พาน,19.547752648770036,99.7586797873154,64
2026-04-30,เชียงราย,เชียงของ,20.157540666666666,100.35939533333332,87
2026-04-30,เชียงราย,เชียงแสน,20.272101,100.077606,88
2026-04-30,เชียงราย,เทิง,19.724623523894778,100.24266780882905,65
2026-04-30,เชียงราย,เมือง,19.9552415021469,99.7568528154666,55
2026-04-30,เชียงราย,เวียงชัย,19.895483326666668,100.01200949999999,55
2026-04-30,เชียงราย,เวียงเชียงรุ้ง,20.01794636895146,100.04770044382853,71
2026-04-30,เชียงราย,แม่จัน,20.15878395,99.96240195,79
2026-04-30,เชียงราย,แม่ฟ้าหลวง,20.309390149951337,99.56042555489125,89
2026-04-30,เชียงราย,แม่ลาว,19.76583,99.73855,96
2026-04-30,เชียงราย,แม่สรวย,19.642196,99.525286,67
2026-04-30,เชียงราย,แม่สาย,20.383722679846773,99.92539586689031,66
2026-04-30,เชียงราย (ก,แม่สรวย,19.614124,99.478223,49
2026-04-30,เชียงใหม่,กัลยาณิวัฒนา,18.963982496445126,98.41647016605216,23
2026-04-30,เชียงใหม่,จอมทอง,18.41788057876232,98.6768951613708,34
2026-04-30,เชียงใหม่,ดอยสะเก็ด,18.849669175,99.16225315,55
2026-04-30,เชียงใหม่,ดอยหล่อ,18.47771243893752,98.78072604442652,43
2026-04-30,เชียงใหม่,ดอยเต่า,17.996381310956767,98.65600585080338,48
2026-04-30,เชียงใหม่,ฝาง,19.913293,99.206827,56
2026-04-30,เชียงใหม่,พร้าว,19.3054985,99.17465675,73
2026-04-30,เชียงใหม่,สะเมิง,18.84665,98.732259,37
2026-04-30,เชียงใหม่,สันกำแพง,18.74461639526151,99.11884898886804,59
2026-04-30,เชียงใหม่,สันทราย,18.8566111944521,99.03646869178272,51
2026-04-30,เชียงใหม่,สันป่าตอง,18.63403148381118,98.88318245251847,39
2026-04-30,เชียงใหม่,สารภี,18.70048567500466,99.05720783503469,96
2026-04-30,เชียงใหม่,หางดง,18.704911035534998,98.93280168925362,62
2026-04-30,เชียงใหม่,อมก๋อย,17.668272208073574,98.39139542294829,47
2026-04-30,เชียงใหม่,ฮอด,18.185575104999998,98.61158552,49
2026-04-30,เชียงใหม่,เชียงดาว,19.466319838448914,98.97128160101079,57
2026-04-30,เชียงใหม่,เมือง,18.790735778046113,98.96209219043807,56
2026-04-30,เชียงใหม่,เมืองเชียงใหม่,18.772478,98.995551,98
2026-04-30,เชียงใหม่,เวียงแหง,19.560701870696757,98.63519183068554,42
2026-04-30,เชียงใหม่,แม่ริม,18.86830853933333,98.95848173333333,59
2026-04-30,เชียงใหม่,แม่วาง,18.61577,98.77391,40
2026-04-30,เชียงใหม่,แม่ออน,18.7045805,99.256939,65
2026-04-30,เชียงใหม่,แม่อาย,20.04,99.3024,66
2026-04-30,เชียงใหม่,แม่แจ่ม,18.506217499999998,98.390641,54
2026-04-30,เชียงใหม่,แม่แตง,19.136687442146954,98.96053523664791,51
2026-04-30,เชียงใหม่,ไชยปราการ,19.726106,99.14017849999999,51
2026-04-30,เชียงใหม่ (Outdoor),สันกำแพง,18.7866714,99.162726,47
2026-04-30,เชียงใหม่ (outdoor),เมือง,18.762817,99.002805,30
2026-04-30,เเม่ฮ่องสอน,ปางมะผ้า,19.650577,98.093104,97
2026-04-30,แพร่,ร้องกวาง,18.307634262860542,100.29124223068229,66
2026-04-30,แพร่,ลอง,18.0896667,99.8438863,89
2026-04-30,แพร่,วังชิ้น,17.8892929,99.5984095,29
2026-04-30,แพร่,สอง,18.460248,100.1823043,67
2026-04-30,แพร่,สูงเม่น,18.074608070829743,100.11718445332016,70
2026-04-30,แพร่,เด่นชัย,17.982854,100.054273,62
2026-04-30,แพร่,เมือง,18.1331585,100.1545941,34
2026-04-30,แพร่,เมืองแพร่,18.150909,100.157705,71
2026-04-30,แม่ฮ่องสอน,ขุนยวม,18.779572549999997,97.92674075,67
2026-04-30,แม่ฮ่องสอน,ปางมะผ้า,19.564455340000002,98.22842786,56
